17,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,19
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
4,1,1,28,5,28,5,1,1,2,1,1,1,5,1,12,5,5,1,3
4,1,1,2,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,3
4,1,5,20,1,2,1,5,5,28,5,28,1,1,1,2,1,1,1,3
4,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,3
4,1,1,5,28,5,1,1,1,2,1,1,1,1,1,2,1,1,1,3
4,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,3
4,1,12,5,28,5,5,1,1,1,1,1,5,28,5,28,5,10,1,3
4,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,3
4,1,1,1,2,1,1,1,16,5,18,1,5,20,1,2,1,1,1,3
4,1,1,1,1,1,2,1,22,1,20,1,1,1,1,1,1,2,1,3
4,1,5,28,5,1,2,1,1,1,1,1,5,5,5,1,5,28,1,3
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
23,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,21
