17,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,19
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
4,1,16,5,5,5,5,5,5,5,5,5,5,5,5,5,5,18,1,3
4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3
4,1,2,1,16,5,5,5,5,5,5,5,5,5,5,18,1,2,22,11
4,26,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3
4,1,2,1,2,1,16,5,5,5,5,5,5,18,1,2,1,2,1,3
4,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,2,1,3
4,1,2,1,2,1,2,1,1,1,1,27,1,2,1,2,14,2,18,3
4,1,2,1,2,1,2,1,1,12,1,1,1,2,1,2,1,2,1,3
4,1,2,1,2,1,2,1,1,28,26,1,1,2,2,1,1,2,1,3
4,1,2,1,2,1,2,1,1,25,1,27,1,2,1,1,1,2,1,3
4,1,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,25,1,3
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3
23,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,21
