17,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,19
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
4,1,27,12,5,12,26,1,1,24,1,1,1,27,5,12,5,26,1,3
4,1,1,2,1,2,1,1,1,2,1,24,1,1,1,2,1,1,1,3
4,1,27,20,1,25,1,27,5,28,5,10,1,1,1,25,1,1,1,3
4,1,1,1,1,1,1,1,1,2,1,25,1,1,1,1,1,1,1,3
4,1,1,27,12,26,1,1,1,25,1,1,1,1,1,24,1,1,1,3
4,1,1,1,2,1,1,1,1,1,1,1,1,24,1,2,1,24,1,3
4,1,16,5,28,5,26,1,1,1,1,1,27,28,5,28,5,10,1,3
4,1,25,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,3
4,1,1,1,25,1,1,1,16,5,18,1,27,20,1,25,1,1,1,3
4,1,1,1,1,1,24,1,25,1,25,1,1,1,1,1,1,24,1,3
4,1,27,5,26,1,25,1,1,1,1,1,27,5,26,1,27,20,1,3
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
23,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,21
